zgloszenie;typ;tytul;numer_prawa;status_w_karcie;uprawniony_kategoria;Mateusz_Wirwicki_wskazany_jako_tworca;uzycie_na_stronie
P.421511;wynalazek;Urządzenie do rehabilitacji stawu promieniowo-nadgarstkowego;Pat.234420;Prawo wygasło;uczelnia;nie;Tylko w zbiorczej liczbie dorobku uczelnianego
P.429838;wynalazek;Modułowa tektura falista z uniwersalnym systemem łączenia oraz systemem antypoślizgowym;;Konwersja na zgłoszenie wzoru użytkowego;firma;tak;Przykład obszaru materiałów i opakowań, bez stwierdzenia o udzieleniu patentu
P.436148;wynalazek;Sposób wytwarzania tlenku diazotu;Pat.245586;Prawo w mocy;firma;tak;Wyróżniony przykład patentu
P.436166;wynalazek;Sposób wytwarzania tacek aluminiowych;Pat.242732;Prawo w mocy;firma;tak;Wyróżniony przykład patentu
P.436224;wynalazek;Sposób konfekcjonowania folii aluminiowej;;Decyzja o udzieleniu prawa wygaszona;firma;tak;Tylko jako doświadczenie technologiczne, nie jako udzielony patent
P.436520;wynalazek;Sposób wytwarzania stolarki okiennej i drzwiowej z profili PVC;;Decyzja o udzieleniu prawa wygaszona;firma;tak;Tylko jako doświadczenie technologiczne, nie jako udzielony patent
P.444751;wynalazek;Sposób recyklingu paneli fotowoltaicznych;Pat.247446;Prawo w mocy;firma;tak;Wyróżniony przykład patentu
P.444943;wynalazek;Sposób wytwarzania rur przeznaczonych do instalacji przeciwpożarowych;;Postępowanie w toku;firma;tak;Przykład portfolio zgłoszeń z wyraźnym statusem „w toku”
P.444978;wynalazek;Sposób wytwarzania konstrukcji pod panele fotowoltaiczne;;Postępowanie w toku;firma;tak;Przykład portfolio zgłoszeń z wyraźnym statusem „w toku”
P.448147;wynalazek;Sposób prania wyrobów tekstylnych;;Oczekuje na badanie;firma;tak;Przykład portfolio zgłoszeń, bez stwierdzenia o udzieleniu patentu
W.127334;wzór użytkowy;Nakładka na zamek w drzwiach dla osób z zaburzeniami kontroli ruchomości kończyny górnej oraz uszkodzeniem zmysłu wzroku;Ru.071514;Prawo wygasło;uczelnia;nie;Tylko w zbiorczej liczbie dorobku uczelnianego
W.127648;wzór użytkowy;Osłonka termokurczliwa na aparaty słuchowe;Ru.071622;Prawo wygasło;uczelnia;nie;Tylko w zbiorczej liczbie dorobku uczelnianego
W.127883;wzór użytkowy;Pudełko do kurczenia polimerowej osłony na aparaty słuchowe;Ru.071897;Prawo wygasło;uczelnia;nie;Tylko w zbiorczej liczbie dorobku uczelnianego
W.131325;wzór użytkowy;Konstrukcja wsporcza mobilnych systemów agrofotowoltaicznych;;Postępowanie w toku;firma;nie;Przykład portfolio zgłoszeń z wyraźnym statusem „w toku”

